Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2010-01-01,274.8455810546875,309.4906043417203,260.02437385284463,279.5495304621456,111670096
2010-02-01,285.1571960449219,291.4270609836051,265.07492593441185,274.8820993820388,54282810
2010-03-01,292.2131042480469,316.6374998874324,282.61178096147273,285.15715402198555,74838560
2010-04-01,286.5047302246094,312.51998775723575,282.83637347502685,294.346721232268,93376066
2010-05-01,278.1386413574219,315.5519527841453,256.50293670858315,284.95127408888567,63786312
2010-06-01,281.11444091796875,297.2102078413678,273.2537175367739,278.13859106860707,54347776
2010-07-01,318.431396484375,326.01490210745146,275.18646029738613,284.3814608653663,78910160
2010-08-01,320.6797180175781,336.3573931206597,314.9027276431609,320.39466937934026,55141156
2010-09-01,352.3011169433594,364.86225558200556,317.3921465924614,320.01460333338406,70894688
2010-10-01,400.1702880859375,407.79056045817987,330.27635319906176,352.32011440222124,74402284
2010-11-01,408.9496154785156,421.1116858273191,379.665635106249,399.8470845096797,52248874
2010-12-01,443.86578369140625,449.33008517641366,399.21836632959736,405.15865307432557,56704742
2011-01-01,441.5237731933594,464.5614517429051,414.22128679475145,444.3796837573526,71709466
2011-02-01,423.4825744628906,457.2963466448905,402.7518673400552,444.3658628680636,71496466
2011-03-01,451.57489013671875,456.95304267903447,403.26678161302937,424.5314995841113,71696100
2011-04-01,444.61395263671875,475.6241881514796,434.8302624200113,451.9946148839591,74530282
2011-05-01,441.3717041015625,451.38424092757407,422.6625452364475,446.2730699593739,42229286
2011-06-01,451.6893005371094,459.62306163633605,403.55286241596974,441.31442515621643,62408962
2011-07-01,436.64801025390625,462.7624031274908,427.0855246640434,460.0741568022689,65778624
2011-08-01,401.3678894042969,442.7599146349324,347.3079698421693,439.8720989211671,90908646
2011-09-01,399.4041748046875,413.8239821315808,373.10578151709865,401.3678800438096,83728068
2011-10-01,429.6300964355469,444.3386893622477,390.93333265635516,392.7430356581392,81270134
2011-11-01,430.73040771484375,446.34873338172883,401.94552893631464,427.81522196103424,49110028
2011-12-01,448.1441955566406,462.1408584155669,430.2863843228381,440.1709147358894,53522314
2012-01-01,437.2365417480469,467.16044783680485,403.6059418800894,448.279418955458,83449324
2012-02-01,473.1167907714844,495.92180868602225,429.0942381638894,437.28314284523367,56845398
2012-03-01,452.5380859375,475.0720467560192,430.468724352257,473.5233196272302,62311588
2012-04-01,482.6607971191406,483.97722462279484,405.63100095353695,453.00268224693593,77519054
2012-05-01,482.1767883300781,501.49716732494227,462.33372341951775,483.9771929404963,71222046
2012-06-01,494.6053466796875,498.3029515894607,463.1468270086356,480.1054079028215,40116886
2012-07-01,484.6171875,500.3404949420302,457.944022761048,498.3921285287046,63937164
2012-08-01,524.9112548828125,542.509228957531,475.8283808428188,483.64101347363277,35416802
2012-09-01,506.219482421875,562.4313772494243,492.62548413948844,527.3526417121003,60426644
2012-10-01,513.8757934570312,521.4540549080857,412.1162767747381,505.8678468467164,36891286
2012-11-01,514.4666137695312,527.7785352825937,491.77763724936057,514.8189977212912,27664660
2012-12-01,491.6992492675781,517.598773873016,468.65789132072626,514.8580844500877,51445728
