Price,Close,High,Low,Open,Volume
Ticker,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
Date,,,,,
2010-01-01,142.06712341308594,155.2413043599571,132.5971286338859,150.56190386478957,508894130
2010-02-01,149.21881103515625,151.75954014546951,134.47914472225983,140.3134152907906,407928237
2010-03-01,162.96615600585938,166.09715712924384,146.4556732824593,149.21881881929724,470919419
2010-04-01,162.87203979492188,172.75266412215547,154.42004880053108,163.73606027987083,462647153
2010-05-01,148.56007385253906,163.89856652169223,137.27649190849797,161.8711183384853,520860675
2010-06-01,147.43089294433594,155.6946844075286,121.81825828538872,145.71140976758386,464927442
2010-07-01,154.82208251953125,159.45870742621645,142.55471372892012,146.1904511679037,347431759
2010-08-01,167.2776641845703,175.19927218770326,155.86575802377473,156.03684192056775,487528091
2010-09-01,190.41799926757812,196.4148097709477,167.73106675856812,167.73106675856812,405179308
2010-10-01,198.98118591308594,201.37648955811076,183.75390153229188,191.1194684969946,415430328
2010-11-01,195.40536499023438,218.82800862955526,186.70528510829044,202.95913242099726,495661394
2010-12-01,195.9186248779297,205.6538224171191,178.1249524506442,196.75698620347637,445609451
2011-01-01,174.78868103027344,198.19421252900716,169.6473323820993,197.44140013942672,546988894
2011-02-01,166.1056671142578,183.58281570290617,160.79322171827206,174.36089892094162,476317655
2011-03-01,190.97406005859375,192.9929651194704,167.38033186073142,168.3384592168153,451961708
2011-04-01,190.6746368408203,194.87497274807444,183.41173398923507,190.73451261632718,408997221
2011-05-01,185.82415771484375,191.3333466136356,171.6063170607238,190.56343314665057,397682456
2011-06-01,187.28697204589844,188.11677555430313,171.67473113822382,185.4306221509219,358906977
2011-07-01,177.38072204589844,190.2212483164773,171.70899232006965,190.14425696504478,307079129
2011-08-01,149.40701293945312,181.30732362104789,139.25263976185434,180.1267799025498,493020335
2011-09-01,149.7748565673828,158.7743443082752,142.52051090680212,149.40700102343803,431151920
2011-10-01,159.31329345703125,163.16288962209268,130.27023830956333,147.14001638507077,435746666
2011-11-01,121.89524841308594,158.0044378372945,120.60349659706513,157.05486822426369,734879697
2011-12-01,117.13886260986328,135.50570139974175,109.67065104931935,129.0041678321442,693176397
2012-01-01,154.35159301757812,155.1557376776764,117.21585116434322,118.07987160532518,602424987
2012-02-01,155.06163024902344,170.88774675917762,150.21970416809407,155.35249444312504,650406444
2012-03-01,152.3070068359375,163.8386785167336,144.3084077580761,154.41146074478795,571225414
2012-04-01,150.96395874023438,157.20030129581554,141.53672526863605,151.89641274486095,459128461
2012-05-01,134.00863647460938,153.1282806854759,131.45934962258045,150.95540718021894,491265240
2012-06-01,157.06939697265625,158.02106493287167,134.00227866676093,136.90095317446972,423734114
2012-07-01,167.8782501220703,169.9474753463528,154.38023383059092,157.3312831246041,480581435
2012-08-01,157.5321044921875,172.68027022417863,156.29231317426556,166.236846089675,375129721
2012-09-01,184.8861083984375,189.79288364566105,153.0793445871872,158.06469764241305,432550575
2012-10-01,183.38438415527344,192.56932698489905,151.35062053973826,185.0956423645868,347257199
2012-11-01,192.05421447753906,192.944758145227,177.23782699598468,183.69870525830487,275891831
2012-12-01,198.75955200195312,202.3217704876113,190.8929928961364,191.20730413684578,260647007
2013-01-01,207.99685668945312,215.13002731568605,199.60644118312518,200.1826735349787,329654165
2013-02-01,181.67311096191406,210.11846606996093,179.85707272035057,208.49451992809173,289759708
2013-03-01,182.5113067626953,201.05580291802286,174.01611003423562,184.30987703000883,416584691
2013-04-01,203.19485473632812,207.58650716594533,171.42301279253644,184.57179701816926,422967953
2013-05-01,201.58836364746094,216.2475945860852,193.69561698658922,203.19485631520834,331006829
2013-06-01,186.97276306152344,203.63135746831807,178.33786683207546,200.81127643750276,381579857
2013-07-01,158.73699951171875,189.2865229058969,155.77721543382611,185.55841422821305,500163824
2013-08-01,140.3496551513672,161.87138748511134,132.16877017923179,161.87138748511134,711537288
2013-09-01,154.30166625976562,185.85524276427057,135.600016235396,142.1569546997433,549292193
2013-10-01,195.73866271972656,197.31895307995225,154.36278466179428,155.40177911865135,444428569
2013-11-01,186.60609436035156,199.06511684003303,173.8676678455274,195.5378350694116,329798024
2013-12-01,191.8621063232422,210.6947241518225,184.80752798695596,186.91167517969322,381138247
2014-01-01,172.470703125,195.2234890253008,168.24494101221876,192.2375180766399,377697765
2014-02-01,182.2755584716797,183.14864848689868,164.77004358279916,171.30077975776746,288693945
2014-03-01,217.4088134765625,222.81325811497683,178.35537788293368,181.11435002890428,459891426
2014-04-01,217.12069702148438,230.234545602518,209.96133794610893,218.67479968755433,345077589
2014-05-01,247.6177978515625,278.2022368434195,216.1777371442971,217.12067078688676,475894654
2014-06-01,247.63528442382812,263.970851883807,240.36241137724502,246.43041491053447,312501291
2014-07-01,256.9075622558594,264.0931097689215,232.8189318876853,248.05441225282848,348986646
2014-08-01,271.84613037109375,273.1034046300265,246.5264609622874,255.3447024776634,252071984
2014-09-01,250.3243865966797,282.6812087805364,249.26793862676607,272.05567814170456,273062311
2014-10-01,284.0432434082031,285.18700334620536,247.0852366292333,251.97455830557578,230816570
2014-11-01,306.35076904296875,310.6464049682862,281.5462068500307,283.92974359525647,239208950
2014-12-01,308.2890319824219,319.5955904266098,278.69119481856694,308.3763439167796,244134686
2015-01-01,314.9245300292969,343.4746529454762,290.73985723261245,307.9397805289633,289127758
2015-02-01,292.7043151855469,314.9245121877526,276.24650029095915,314.57526447432235,325423660
2015-03-01,275.4607238769531,316.0595398198757,264.1978367617783,306.3245674963007,337871610
2015-04-01,289.1246643066406,292.3114769727805,259.04662299713937,275.0242397175977,267976244
2015-05-01,276.9886474609375,295.1053310584513,262.4516651335021,289.1246249409502,237615398
2015-06-01,268.91253662109375,279.73889349144883,244.77152081409005,276.7703758123331,365357755
2015-07-01,264.0232238769531,280.2627450672159,246.82330073829226,269.5236997698305,298063791
2015-08-01,242.63246154785156,279.21503311799717,233.24670717562645,265.8130763685291,315693282
2015-09-01,236.04058837890625,249.1369819654023,216.26505208841834,240.10047581291093,331117692
2015-10-01,241.8466796875,255.55424347425293,232.2863156734162,238.74720850469922,185098903
2015-11-01,238.83450317382812,246.8232957073711,223.51171362346034,241.84666220181094,205469262
2015-12-01,228.1827850341797,241.62841292204487,212.2051842616386,240.144153965826,257514856
2016-01-01,200.94227600097656,230.14723867373044,190.15958919824345,228.13912280836328,348652909
2016-02-01,165.93125915527344,198.4976284984592,157.81149846649737,198.19203673117224,597935323
2016-03-01,206.61737060546875,210.72089922028306,170.47133247564736,170.47133247564736,416479132
2016-04-01,206.87930297851562,225.0832835946094,191.2946070017668,206.04986894879403,469113844
2016-05-01,213.6021270751953,217.40007900013524,186.14335890771375,198.45397534280934,503330739
2016-06-01,210.02244567871094,228.05180253125226,193.04078803298907,212.9472927811164,341558269
2016-07-01,229.53607177734375,239.22740345180938,209.14935048703478,211.02649846754844,275956385
2016-08-01,225.25791931152344,228.13912523916554,206.61739271685204,223.42442729476414,344061087
2016-09-01,220.15029907226562,247.7400475475321,212.4234426046707,225.91271044102788,383196883
